,text,created_at,Location
165,RT @sirhottest: I miss the daily coronavirus taskforce briefings. There's nothing else like watching the President destroy the media direct…,2020-06-14 23:59:40,
166,RT @OfficialFCTA: The FCT Ministerial Task Team on #COVID19 seals up Jabi Lake Mall indefinitely for violating Presidential Task Force’s di…,2020-06-14 23:59:39,Nigeria
167,Complicit Democrats! Citizens held hostage! ##CuomoKilledThousands #BLMTerrorists #BLM #riots #coronavirus https://t.co/VoEUWC0M7R,2020-06-14 23:59:39,
168,RT @larry_levitt: Why what's happening in a state like Arizona is so concerning: The number of new confirmed infections is going up rapidly…,2020-06-14 23:59:39,"Scottsdale, AZ"
169,RT @latimes: The mishandling of these cases raises questions about how well public officials have carried out contact tracing thus far and…,2020-06-14 23:59:39,"Los Angeles, CA"
170,RT @NefariousNewt: Anyone who watched a trump coronavirus briefing.,2020-06-14 23:59:39,Bmore Where You See More
171,RT @DrDenaGrayson: 🚨Scientists in #Japan found that people between the ages of 20-39 years old were the primary source of 50% of #coronavir…,2020-06-14 23:59:39,
172,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:39,
173,"RT @CNN: The US Surgeon General urged people to wear face coverings, saying they promote freedom during the coronavirus pandemic: ""If more…",2020-06-14 23:59:39,
174,RT @niccijsmith: .#Taiwan is fighting Chinese disinformation by building “nerd immunity” @audreyt tells @TelegraphWorld “It’s the Taiwan mo…,2020-06-14 23:59:39,Hong Kong
175,Yeah I guess that whole hot weather will kill it hypotheses didn’t pan out. Another falsehood the trump administrat… https://t.co/D71eWKELrB,2020-06-14 23:59:39,"Iowa, USA"
176,Can I get paid for watching TV? I’ve been getting good at it for 3 months now. What about reading stupid “stuff” on… https://t.co/ORd3R4iEM4,2020-06-14 23:59:39,"Las Vegas, NV"
177,RT @globaltimesnews: The global seafood industry is to sustain a temporary blow after the latest #coronavirus outbreak Beijing's Fengtai Di…,2020-06-14 23:59:39,Currently in the Philippines 
178,"RT @JennJermaine: The White Mountain Apache Tribe in eastern Arizona is struggling with the coronavirus. As of Monday, June 8 the Tribe rep…",2020-06-14 23:59:39,inbetween
179,"RT @DenbrotS: DeSantis Makes Florida Lie About Its COVID Death Statistics

FDLE releases list of COVID-19 deaths. Top medical examiner call…",2020-06-14 23:59:38,"Owen Sound, Ontario"
180,"@thehill New Zealand had no active coronavirus cases and no new infections, ... Plans for a “travel bubble” with Au… https://t.co/LVnO0Pzc1W",2020-06-14 23:59:38,
181,RT @annafifield: A sign of how alarmed the Beijing authorities are about the coronavirus outbreak: Even the State Council press conferences…,2020-06-14 23:59:38,NY
182,"RT @guardian: UK economy to shrink by 8% in 2020, forecasters say https://t.co/Z2v3wJnqdj",2020-06-14 23:59:38,Brazil
183,"RT @funder: President Obama called Trump’s coronavirus response ""an absolute chaotic disaster.” #ObamaDayUSA",2020-06-14 23:59:38,
184,"RT @ABSCBNNews: DAY 93. Here are the stories you need to watch out for this Monday, June 15, 2020, amid the #COVID19 pandemic:

* The Phili…",2020-06-14 23:59:38,Republic of the Philippines
185,"RT @nivassoc: Losing 2,000 music venues across the country would be devastating to local economies and virtually every aspect of the music…",2020-06-14 23:59:38,"Brooklyn, NY"
186,RT @EdmJbg: @mojopono @WhteRbbnAdvocat @Girrali @Penny_MadamLash @LadyPoop2 @WgarNews @twtrrr @rjstrikers @SaveEarthFromUs @lynlinking @Bla…,2020-06-14 23:59:38,"Gawler, South Australia"
187,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:38,
188,"RT @PamBelluck: ‘This Virus Is Not Going to Rest,’ Disease Expert Says https://t.co/T8WF1XX10q",2020-06-14 23:59:38,Boston
189,"RT @korpiable: @chef_kendra @Politidope Are you sure about that?

https://t.co/WhVKAsd50g",2020-06-14 23:59:38,"Pompano Beach, FL"
190,The details on #DCU’s move to full-team training sessions: https://t.co/TAxI2oRKeS,2020-06-14 23:59:38,The DMV
191,‘Disinfecting non-stop’ as Italy faces two new coronavirus outbreaks https://t.co/zq3kV8CISn,2020-06-14 23:59:38,Singapore
192,"RT @rhysblakely: A 70-year-old man in Seattle survived the coronavirus, got applauded by staff when he left the hospital after 62 days -- a…",2020-06-14 23:59:38,Kuala Lumpur City
193,RT @PoliticusSarah: The Tulsa Health Department Director is urging Trump to cancel his rally due to rising coronavirus cases in the city.…,2020-06-14 23:59:38,"Arlington,VA"
194,"RT @NikolovScience: Did you know that, if you don't believe in ""social distancing"" and mask wearing as measures to prevent COVID19 spread,…",2020-06-14 23:59:38,Texas
195,"RT @60Minutes: “Masks, masks and more masks,” say Dr. Myron Cohen about the new rules at UNC Chapel Hill when student return to campus. “We…",2020-06-14 23:59:37,Somewhere over the rainbow
196,"RT @garrettaddison: Looking for a book while you're in isolation?

https://t.co/qNeyX6Qrvc

THE TRAVELLER

#BunkerUpWithABook #GetReading #…",2020-06-14 23:59:37,
197,"RT @cityoftoronto: #CityofTO is looking for diverse perspectives on how Toronto can recover, rebuild &amp; emerge from #COVID19 even stronger.…",2020-06-14 23:59:37,Toronto
198,"RT @adamsmet66: A THREAD:

On Friday it was my birthday. I celebrated at home with my family. I had cake. I was spoiled. I couldn't have be…",2020-06-14 23:59:37,
199,"RT @nytimes: The coronavirus won’t be loosening its grip on the U.S. any time soon, infectious disease experts said on Sunday. Experts have…",2020-06-14 23:59:37,"Chicago, IL"
200,"RT @Reuters: More U.S. states, including Florida and Texas, are experiencing record-breaking levels of coronavirus cases and hospitalizatio…",2020-06-14 23:59:37,"Mexicali, México."
201,Funny how protesting and looting didn’t make the list from @MLive 🤔 #Plandemic #StopTheMadness From hair salons to… https://t.co/TIUDcLgJq8,2020-06-14 23:59:37,
202,"RT @Thomas1774Paine: With Trump Rallies Returning, the Media Suddenly Remembers the Coronavirus Pandemic https://t.co/bJSSx4TBZn",2020-06-14 23:59:37,
203,"RT @guardian: More than a million left out of coronavirus income support, say MPs https://t.co/40RB7LlVQf",2020-06-14 23:59:36,Brazil
204,RT @DrEricDing: My earlier worst fears confirmed: Younger adults were the main source of 61 different outbreak clusters in Japan. In this s…,2020-06-14 23:59:36,Arkansas
205,"RT @BuckSexton: Can guarantee right now that even if this continues to be the case, there’ll be many news stories right after first Trump r…",2020-06-14 23:59:36,MA
206,"RT @CLFSuperPAC: We see #FakeNurse @LaurenUnderwood is trying to combat medical misinformation about coronavirus.

Here's a great starting…",2020-06-14 23:59:36,"Queens, NY"
207,"RT @kerpen: California coronavirus surge tied to increase in testing, not reopening businesses, official says https://t.co/Tb54pFwQKV",2020-06-14 23:59:36,
208,"RT @travel_slovenia: GREAT NEWS: After more than three months of closure due to the #coronavirus pandemic, #Vogel Cable Car above Lake #Boh…",2020-06-14 23:59:36,🇩🇰🇨🇦🇺🇸
209,"RT @rhysblakely: A 70-year-old man in Seattle survived the coronavirus, got applauded by staff when he left the hospital after 62 days -- a…",2020-06-14 23:59:36,the ghetto ra ta ta ta 
210,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:35,
211,@ZaidZamanHamid To all the Sheep who still believe that coronavirus is exactly as the media says it is. This report… https://t.co/z8d91xkhC7,2020-06-14 23:59:35,"England, United Kingdom"
212,"RT @rhysblakely: A 70-year-old man in Seattle survived the coronavirus, got applauded by staff when he left the hospital after 62 days -- a…",2020-06-14 23:59:35,In my mind
213,"How is it I can track &amp; trace my @adidas order, but @MattHancock can't track and trace coronavirus contacts?",2020-06-14 23:59:35,
214,"RT @StreetArtDream: ... we protect the weakest, we will come out stronger. Love is the answer ❤️. Art by Melbourne's Murals and Interior De…",2020-06-14 23:59:35,"Virginia, USA"
215,"RT @3PlusInt: If you are struggling to remember some of women political leaders who have been forging out of this crisis, we've made a list…",2020-06-14 23:59:35,
